1540054772937	mozrunner::runner	INFO	Running command: "C:\\Program Files\\Mozilla Firefox\\firefox.exe" "-marionette" "-foreground" "-no-remote" "-profile" "C:\\Users\\andriusb\\AppData\\Local\\Temp\\rust_mozprofile.R8SpzCHiqlD1"
1540054932938	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451137
1540054932938	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451121
1540054932938	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451119
1540054932938	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451021
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451004
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451096
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451099
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451101
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451103
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451123
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442450962
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442450951
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442450954
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442450956
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442450960
1540054932939	Marionette	DEBUG	[6442450945] Received observer notification outer-window-destroyed for 6442451094
1540054933685	Marionette	DEBUG	[6442450945] Received DOM event pageshow for https://automatetheboringstuff.com/
1540055247652	Marionette	DEBUG	[6442450945] Received DOM event beforeunload for https://automatetheboringstuff.com/
console.error: "Error while calling actor 'pagestyle's method 'getComputed'" "node is null"
console.error: "getComputed@resource://devtools/shared/base-loader.js -> resource://devtools/server/actors/styles.js:227:5\nhandler@resource://devtools/shared/base-loader.js -> resource://devtools/shared/protocol.js:1159:21\nonPacket@resource://devtools/shared/base-loader.js -> resource://devtools/server/main.js:1783:15\nreceiveMessage@resource://devtools/shared/base-loader.js -> resource://devtools/shared/transport/transport.js:735:7\n"
console.error: "Protocol error (unknownError): node is null"
1540055247729	Marionette	DEBUG	[6442450945] Received DOM event pagehide for https://automatetheboringstuff.com/
1540055247731	Marionette	DEBUG	[6442450945] Received DOM event unload for https://automatetheboringstuff.com/
1540055247805	Marionette	DEBUG	[6442450945] Received DOM event DOMContentLoaded for https://automatetheboringstuff.com/chapter0/
1540055247874	Marionette	DEBUG	[6442450945] Received DOM event pageshow for https://automatetheboringstuff.com/chapter0/
1540055299197	Marionette	DEBUG	[6442451146] Frame script loaded
1540055299206	Marionette	DEBUG	[6442451146] Frame script registered
1540055299206	Marionette	DEBUG	[2147483652] Frame script loaded
1540055299209	Marionette	DEBUG	[2147483652] Frame script registered
[Parent 117828, Gecko_IOThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 73264, Chrome_ChildThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 732641540055552728	Marionette	DEBUG	[6442450945] Received DOM event beforeunload for https://automatetheboringstuff.com/
1540055552728	Marionette	DEBUG	[6442450945] Received DOM event pagehide for https://automatetheboringstuff.com/
1540055552732	Marionette	DEBUG	[6442450945] Received DOM event pageshow for https://automatetheboringstuff.com/chapter0/
1540055653088	Marionette	DEBUG	[6442450945] Received DOM event beforeunload for https://automatetheboringstuff.com/
1540055653088	Marionette	DEBUG	[6442450945] Received DOM event pagehide for https://automatetheboringstuff.com/
1540055653103	Marionette	DEBUG	[6442450945] Received DOM event pageshow for https://automatetheboringstuff.com/chapter0/
1540056107628	Marionette	DEBUG	[6442451153] Frame script loaded
1540056107642	Marionette	DEBUG	[6442451153] Frame script registered
[Parent 117828, Gecko_IOThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 118808, Chrome_ChildThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 11880[Parent 117828, Gecko_IOThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Parent 117828, Gecko_IOThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 118360, Chrome_ChildThread] WARNING: pipe error: 109: file z:/build/build/src/ipc/chromium/src/chrome/common/ipc_channel_win.cc, line 346
[Child 118360, Chrome_Chil1540056147159	Marionette	INFO	Stopped listening on port 61991
[GPU 118652,
